id	name	def	synonyms	is_a	xrefs
CHEMONTID:0000000	Organic compounds	"Compounds that contain at least carbon atom, excluding isocyanide/cyanide and their non-hydrocarbyl derivatives, thiophosgene, carbon diselenide, carbon monosulfide, carbon disulfide, carbon subsulfide, carbon monoxide, carbon trioxide, Carbon suboxide, and dicarbon monoxide."" []"	"['an organic compound"" EXACT CHEMONT_TERM []', 'Organic Chemicals"" RELATED MeSH_TERM [MESH:D02]', 'organic molecule"" EXACT ChEBI_TERM [CHEBI:72695]']"	CHEMONTID:9999999	
CHEMONTID:0000001	Inorganic compounds	"Compounds that do not contain a C atom."" []"	"['inorganic molecular entity"" EXACT ChEBI_TERM [CHEBI:24835]']"	CHEMONTID:9999999	
CHEMONTID:0000002	Organoheterocyclic compounds	"Compounds containing a ring with least one carbon atom and one non-carbon atom."" []"	"['Heterocyclic Compounds"" RELATED MeSH_TERM [MESH:D03]', 'organic heterocyclic compound"" EXACT ChEBI_TERM [CHEBI:24532]']"	CHEMONTID:0000000	
CHEMONTID:0000003	Thiepanes	"Organic compounds containing a heptane ring in which one carbon atom is replaced by a sulfur atom."" []"	"['organosulfur heterocyclic compound"" BROAD ChEBI_TERM [CHEBI:38106]']"	CHEMONTID:0000002	
CHEMONTID:0000004	Organosulfur compounds	"Organic compounds containing a carbon-sulfur bond."" []"	"['organosulfur compound"" EXACT ChEBI_TERM [CHEBI:33261]']"	CHEMONTID:0000000	['Wikipedia:Organosulfur_compounds']
CHEMONTID:0000005	Pyrroloquinoline quinones	"Compounds with a structure based on the 2,7,-tricarboxy-1H-pyrrolo[2,3-f ]quinoline-4,5-dione. Pyrroloquinoline Quinones usually bear a carboxylic acid group at the C-2, C-7 and C-9 positions."" []"	"['pyrroloquinoline"" BROAD ChEBI_TERM [CHEBI:50918]', 'quinone"" BROAD ChEBI_TERM [CHEBI:36141]']"	CHEMONTID:0001734	
CHEMONTID:0000006	Benzoxazolines	"Organic compounds containing a benzene ring fused to an oxazoline ring. Oxazoline is five-membered unsaturated ring with a nitrogen atom and an oxygen atom at the 1- and 3-position, respectively. Additionally, it contains two double bonds."" []"	"['1,3-benzoxazoles"" RELATED ChEBI_TERM [CHEBI:51548]']"	CHEMONTID:0000002	
CHEMONTID:0000007	Amidines	"Derivatives of oxoacids RnE(=O)OH in which the hydroxy group is replaced by an amino group and the oxo group is replaced by =NR. Amidines include carboxamidines, sulfinamidines and phosphinamidines."" [ISBN:0967855098]"	"['amidine"" EXACT ChEBI_TERM [CHEBI:2634]', 'amidines"" EXACT IUPAC_TERM [:]', 'Amidines"" BROAD ChEBI_TERM [MeSH:D02.078]']"	CHEMONTID:0000278	"['ISBN:0967855098 ""IUPAC. Compendium of Chemical Terminology, 2nd ed. (the \'Gold Book\'). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997).']"
CHEMONTID:0000008	Cembrane diterpenoids	"Diterpenoids with a structure based a cembrane skeleton, which is characterized by the presence of an isopropyl group at C-1 and by three symmetrically disposed methyl groups a the t C-4, -8 and -12 positions."" [ISBN:0849382165, ISBN:9780412466205]"	"['cembrane diterpenoid"" EXACT ChEBI_TERM [CHEBI:60687]', 'Cembrane diterpenoids"" EXACT LIPIDMAPS_TERM [LIPIDMAPS:PR010419]', 'Diterpenes"" BROAD MeSH_TERM [MESH:D02.455.849.291]']"	CHEMONTID:0001551	"['ISBN:0849382165 ""John W. Blunt and Murray H. G. Munro. (2007) Dictionary of Marine Natural Products. Chapman and Hall/CRC.', 'ISBN:9780412466205 ""John Buckingham (1993). Dictionary of Natural Products. Chapman and Hall/CRC; 1 edition (Dec 2 1993)']"
CHEMONTID:0000009	Sulfines	"S-Oxides of thioaldehydes and thioketones."" [ISBN:0967855098]"	"['sulfines"" EXACT IUPAC_TERM []', 'sulfoxide"" BROAD ChEBI_TERM [CHEBI:35813]']"	CHEMONTID:0000004	"['ISBN:0967855098 ""IUPAC. Compendium of Chemical Terminology, 2nd ed. (the \'Gold Book\'). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997).']"
CHEMONTID:0000010	Sulfenes	"S,S-Dioxides of thioaldehydes and thioketones, R2C=SO2."" [ISBN:0967855098]"	"['sulfenes"" RELATED IUPAC_TERM []', 'thiocarbonyl compound"" BROAD ChEBI_TERM [CHEBI:50492]', 'Thiocarbonyl S,S,-dioxides"" EXACT CHEMONT_TERM []', 'Thiocarbonyl S-dioxides"" EXACT CHEMONT_TERM []']"	CHEMONTID:0000004	"['ISBN:0967855098 ""IUPAC. Compendium of Chemical Terminology, 2nd ed. (the \'Gold Book\'). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997).', 'Wikipedia:Sulfene']"
CHEMONTID:0000011	Carbohydrates and carbohydrate conjugates	"Monosaccharides, disaccharides, oligosaccharides, polysaccharides, and their derivatives."" []"	"['carbohydrates"" RELATED IUPAC_TERM []', 'Carbohydrates"" RELATED MeSH_TERM [MESH:D09]', 'carbohydrates and carbohydrate derivatives"" RELATED ChEBI_TERM [CHEBI:78616]']"	CHEMONTID:0000323	"['ISBN:0967855098 ""IUPAC. Compendium of Chemical Terminology, 2nd ed. (the \'Gold Book\'). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997).']"
CHEMONTID:0000012	Lipids and lipid-like molecules	"Fatty acids and their derivatives, and substances related biosynthetically or functionally to these compounds."" []"	"['lipid"" RELATED ChEBI_TERM [CHEBI:18059]', 'lipids"" RELATED IUPAC_TERM []', 'Lipids"" RELATED MeSH_TERM [MESH:D10]']"	CHEMONTID:0000000	"['ISBN:0967855098 ""IUPAC. Compendium of Chemical Terminology, 2nd ed. (the \'Gold Book\'). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997).', 'Wikipedia:Lipid ""Lipids constitute a group of naturally occurring molecules that include fats, waxes, sterols, fat-soluble vitamins (such as vitamins A, D, E, and K), monoglycerides, diglycerides, triglycerides, phospholipids, and others. The main biological functions of lipids include energy storage, signaling, and acting as structural components of cell membranes. Lipids have found applications in cosmetic and food industries as well as in nanotechnology.']"
