identifier,item,OTT_ID
131236,http://www.wikidata.org/entity/Q808,
85553,http://www.wikidata.org/entity/Q2102,
48796,http://www.wikidata.org/entity/Q21908,229284
848319,http://www.wikidata.org/entity/Q25336,
786045,http://www.wikidata.org/entity/Q82261,
41871,http://www.wikidata.org/entity/Q83244,445986
372739,http://www.wikidata.org/entity/Q105146,
55849,http://www.wikidata.org/entity/Q155848,17701
127352,http://www.wikidata.org/entity/Q843338,
723302,http://www.wikidata.org/entity/Q2119847,901808
635417,http://www.wikidata.org/entity/Q3780208,475213
568826,http://www.wikidata.org/entity/Q4979192,
67569,http://www.wikidata.org/entity/Q7512165,
634914,http://www.wikidata.org/entity/Q9092220,266537
471714,http://www.wikidata.org/entity/Q25406957,
152871,http://www.wikidata.org/entity/Q160,698424
1,http://www.wikidata.org/entity/Q729,691846
50299,http://www.wikidata.org/entity/Q745,208027
47126,http://www.wikidata.org/entity/Q756,5268475
47170,http://www.wikidata.org/entity/Q764,352914
47119,http://www.wikidata.org/entity/Q1358,511967
3,http://www.wikidata.org/entity/Q5113,81461
47336,http://www.wikidata.org/entity/Q7386,7376225
48620,http://www.wikidata.org/entity/Q8314,1006267
45933,http://www.wikidata.org/entity/Q9482,384218
26036,http://www.wikidata.org/entity/Q10811,5257442
43698,http://www.wikidata.org/entity/Q10850,864593
67333,http://www.wikidata.org/entity/Q10876,844192
20978,http://www.wikidata.org/entity/Q10908,544595
41636,http://www.wikidata.org/entity/Q11788,297458
47690,http://www.wikidata.org/entity/Q14272,648900
47903,http://www.wikidata.org/entity/Q14560,584111
42406,http://www.wikidata.org/entity/Q18099,907692
42048,http://www.wikidata.org/entity/Q18498,247341
172373,http://www.wikidata.org/entity/Q19119,429272
48894,http://www.wikidata.org/entity/Q19125,511964
48900,http://www.wikidata.org/entity/Q19135,560923
6888,http://www.wikidata.org/entity/Q21651,241841
47605,http://www.wikidata.org/entity/Q21730,1042120
71261,http://www.wikidata.org/entity/Q21736,4947835
47853,http://www.wikidata.org/entity/Q21881,267709
70233,http://www.wikidata.org/entity/Q21891,431493
47201,http://www.wikidata.org/entity/Q22651,753726
47208,http://www.wikidata.org/entity/Q22671,865243
42158,http://www.wikidata.org/entity/Q23390,460505
19350,http://www.wikidata.org/entity/Q25222,1028829
41944,http://www.wikidata.org/entity/Q25265,563159
81769,http://www.wikidata.org/entity/Q25309,920179
47822,http://www.wikidata.org/entity/Q25312,661378
47115,http://www.wikidata.org/entity/Q25326,802117
26039,http://www.wikidata.org/entity/Q25363,195672
85493,http://www.wikidata.org/entity/Q25364,632176
43094,http://www.wikidata.org/entity/Q25401,644242
41770,http://www.wikidata.org/entity/Q25437,348043
47491,http://www.wikidata.org/entity/Q25522,941620
144128,http://www.wikidata.org/entity/Q25823,177526
144114,http://www.wikidata.org/entity/Q25933,
574,http://www.wikidata.org/entity/Q26375,728070
2708,http://www.wikidata.org/entity/Q28078,363030
47157,http://www.wikidata.org/entity/Q28319,965954
40268,http://www.wikidata.org/entity/Q28425,574724
47162,http://www.wikidata.org/entity/Q28502,921871
372843,http://www.wikidata.org/entity/Q30263,5819800
18874,http://www.wikidata.org/entity/Q31431,1020133
43579,http://www.wikidata.org/entity/Q36611,417969
47727,http://www.wikidata.org/entity/Q42292,948922
47148,http://www.wikidata.org/entity/Q46299,208036
47329,http://www.wikidata.org/entity/Q53478,258488
47178,http://www.wikidata.org/entity/Q127282,773483
47233,http://www.wikidata.org/entity/Q127595,811928
47459,http://www.wikidata.org/entity/Q128257,7368
71434,http://www.wikidata.org/entity/Q131360,853767
62848,http://www.wikidata.org/entity/Q132039,1081446
48516,http://www.wikidata.org/entity/Q134172,473827
53537,http://www.wikidata.org/entity/Q143441,495018
48699,http://www.wikidata.org/entity/Q145794,372831
50623,http://www.wikidata.org/entity/Q146030,43847
41660,http://www.wikidata.org/entity/Q147114,872571
47733,http://www.wikidata.org/entity/Q155966,23723
53548,http://www.wikidata.org/entity/Q156311,1014672
62910,http://www.wikidata.org/entity/Q156525,679528
49570,http://www.wikidata.org/entity/Q156529,627035
50998,http://www.wikidata.org/entity/Q156579,84017
48874,http://www.wikidata.org/entity/Q156589,423320
55150,http://www.wikidata.org/entity/Q156666,279976
47204,http://www.wikidata.org/entity/Q156888,309271
47567,http://www.wikidata.org/entity/Q158487,530183
47194,http://www.wikidata.org/entity/Q161403,737319
43328,http://www.wikidata.org/entity/Q165115,1070066
47651,http://www.wikidata.org/entity/Q167810,1095594
42348,http://www.wikidata.org/entity/Q172923,19014
42054,http://www.wikidata.org/entity/Q185194,
47351,http://www.wikidata.org/entity/Q190545,731578
47273,http://www.wikidata.org/entity/Q194257,278117
48517,http://www.wikidata.org/entity/Q201959,473824
47177,http://www.wikidata.org/entity/Q211837,36216
41479,http://www.wikidata.org/entity/Q215760,698406
879,http://www.wikidata.org/entity/Q222951,153562
39532,http://www.wikidata.org/entity/Q223044,639666
48511,http://www.wikidata.org/entity/Q252363,368352
43791,http://www.wikidata.org/entity/Q261363,835319
42981,http://www.wikidata.org/entity/Q431978,327628
605446,http://www.wikidata.org/entity/Q666616,557772
48222,http://www.wikidata.org/entity/Q862296,4806301
311310,http://www.wikidata.org/entity/Q929163,
153429,http://www.wikidata.org/entity/Q950698,860946
48866,http://www.wikidata.org/entity/Q1096533,17706
136329,http://www.wikidata.org/entity/Q1329304,4736774
71291,http://www.wikidata.org/entity/Q2064321,1069308
1199,http://www.wikidata.org/entity/Q3917160,453587
151882,http://www.wikidata.org/entity/Q10788836,259598
67564,http://www.wikidata.org/entity/Q12198609,494366
47144,http://www.wikidata.org/entity/Q20717272,247333
121943,http://www.wikidata.org/entity/Q21026831,
6913,http://www.wikidata.org/entity/Q29564928,140298
