Chemical formula	Synonyms	CAS number
Ac2O3	actinium(III) oxide	12002-61-8
Ag	silver	7440-22-4
AgAlCl4	silver tetrachloroaluminate	27039-77-6
AgBr	silver bromide	7785-23-1
AgBrO3	silver bromate	7783-89-3
AgCN	silver cyanide	506-64-9
AgC2H3O2	silver acetate	563-63-3
AgCl	silver chloride	7783-90-6
AgClO3	silver chlorate	7783-92-8
AgClO4	silver perchlorate	7783-93-9
AgF	silver fluoride	7775-41-9
AgF2	silver difluoride	7783-95-1
AgI	silver iodide	7783-96-2
AgIO3	silver iodate	7783-97-3
AgMnO4	silver permanganate	7783-98-4
AgN3	silver azide	13863-88-2
AgNO3	silver nitrate	7761-88-8
AgO	silver(I,III) oxide	1301-96-8
AgONC	silver fulminate	5610-59-3
AgPF6	silver hexafluorophosphate	26042-63-7
AgReO4	silver perrhenate	7784-00-1
AgSNC	silver thiocyanate	1701-93-5
Ag2C2	silver acetylide	7659-31-6
Ag2CO3	silver carbonate	534-16-7
Ag2C2O4	silver oxalate	533-51-7
Ag2Cl2	disilver dichloride	75763-82-5
Ag2CrO4	silver chromate	7784-01-2
Ag2Cr2O7	silver dichromate	7784-02-3
Ag2F	silver subfluoride	1302-01-8
Ag2MoO4	silver molybdate	13765-74-7
Ag2O	silver oxide	20667-12-3
Ag2S	silver sulfide	21548-73-2
Ag2SO4	silver sulfate	10294-26-5
Ag2Se	silver selenide	1302-09-6
Ag2SeO3	silver selenite	7784-05-6
Ag2SeO4	silver selenate	7784-07-8
Ag2Te	silver telluride	12002-99-2
Ag3Br2	silver dibromide	11078-32-3
Ag3Br3	silver tribromide	11078-33-4
Ag3Cl3	trisilver trichloride	12444-96-1
Ag3I3	trisilver triiodide	37375-12-5
Ag3PO4	silver phosphate	7784-09-0
Ag3SbS3	silver thioantimonate	15983-65-0
Al	aluminium	7429-90-5
AlAs	aluminium arsenide	22831-42-1
AlB2	aluminium diboride	12041-50-8
AlB12	aluminium dodecaboride	12041-54-2
AlBr3	aluminium bromide	7727-15-3
AlBr3•6H2O	aluminium bromide hexahydrate	7784-11-4
Al(CHO2)3	aluminium formate	7360-53-4
AlCl3	aluminium chloride	7446-70-0
AlCl3•6H2O	aluminium chloride hexahydrate	7784-13-6
AlF3	aluminium fluoride	7784-18-1
AlI3	aluminium iodide	7784-23-8
AlN	aluminium nitride	24304-00-5
Al(NO3)3	aluminium nitrate	13473-90-0
Al(OH)3	aluminium hydroxide	21645-51-2
AlP	aluminium phosphide	20859-73-8
AlPO4	aluminium phosphate	7784-30-7
AlSb	aluminium antimonide	25152-52-7
Al2O3	aluminium oxide	1344-28-1
Al2(SO4)3	aluminium sulfate	10043-01-3
Al2S3	aluminium sulfide	1302-81-4
Al2Se3	aluminium selenide	1302-82-5
Al4C3	aluminum carbide	1299-86-1
Al6O13Si2	aluminum silicate	1302-93-8
AmCl3	americium(III) chloride	13464-46-5
AmO2	americium dioxide	12005-67-3
As	arsenic	7440-38-2
AsBrO	arsenic oxybromide	82868-10-8
AsBr3	arsenic tribromide	7784-33-0
AsCl3	arsenic trichloride	7784-34-1
AsCl3O	arsenic oxychloride	60646-36-8
AsCl5	arsenic pentachloride	22441-45-8
AsF3	arsenic trifluoride	7784-35-2
AsF5	arsenic pentafluoride	7784-36-3
AsH3	arsenic trihydride	7784-42-1
AsI3	arsenic triiodide	7784-45-4
AsO	arsenic monoxide	12005-99-1
AsO2	arsenic dioxide	12255-12-8
AsP	arsenic monophosphide	12255-33-3
AsP3	arsenic phosphide	12511-95-4
AsSe4	arsenic tetraselenide	12006-06-3
As2H4	diarsenic tetrahydride	15942-63-9
As2I4	arsenic diiodide	13770-56-4
As2O3	arsenic trioxide	1327-53-3
As2O5	arsenic pentoxide	1303-28-2
As2P2	arsenic diphosphide	12512-03-7
As2S3	arsenic trisulfide	1303-33-9
As2S4	arsenic tetrasulfide	1303-32-8
As2S5	arsenic pentasulfide	1303-34-0
As2Se	arsenic hemiselenide	1303-35-1
As2Se3	arsenic triselenide	1303-36-2
As2Se5	arsenic pentaselenide	1303-37-3
As2Te3	arsenic tritelluride	12044-54-1
As3O4	arsenic tetraoxide	83527-53-1
As3P	arsenic triphosphide	12512-11-7
As4S4	tetraarsenic tetrasulfide	12279-90-2
Au	gold	7440-57-5
AuBr	gold(I) bromide	10294-27-6
AuBr3	gold(III) bromide	10294-28-7
